user_id,area,city,name,phone,pin,profileurl,reg_date,user_type
100001,Koramangala,Bengaluru,Administrator,8822630564,748569,https://randomuser.me/api/portraits/men/1.jpg,2014-01-01,ADMIN
100002,Lajpat Nagar,New Delhi,Delhi Office,8822635623,110006,https://randomuser.me/api/portraits/women/44.jpg,2014-01-01,OFFICE
100003,Goregaon,Mumbai,Mumbai Office,8856457895,400059,https://randomuser.me/api/portraits/women/26.jpg,2014-01-10,OFFICE
100004,Gomti Nagar,Lucknow,Lucknow,9562589463,226032,https://randomuser.me/api/portraits/women/39.jpg,2014-01-15,OFFICE
100005,DD Nagar,Gwalior,Gwalior,7985468952,474020,https://randomuser.me/api/portraits/women/43.jpg,2014-02-01,OFFICE
100006,Kamrup,Guwahati,Guwahati,9856853542,478115,https://randomuser.me/api/portraits/women/75.jpg,2014-10-26,OFFICE
10000001,Connaught Place,New Delhi,Aditya Sharma,9812345601,110001,https://randomuser.me/api/portraits/men/24.jpg,2015-05-31,USER
10000002,Connaught Place,New Delhi,Krishna Rastogi,9812345602,110001,https://randomuser.me/api/portraits/men/71.jpg,2017-03-19,USER
10000003,Laxmi Ganj,Guwahati,Kiran Saxena,9812345603,781005,https://randomuser.me/api/portraits/women/96.jpg,2019-07-25,AGENT
10000004,Connaught Place,New Delhi,Nikhil Das,9812345604,110001,https://randomuser.me/api/portraits/men/97.jpg,2019-06-10,USER
10000005,Andheri,Mumbai,Nitya Dutta,9812345605,400053,https://randomuser.me/api/portraits/women/71.jpg,2024-12-04,USER
10000006,Andheri,Mumbai,Shiv Dubey,9812345606,400053,https://randomuser.me/api/portraits/men/4.jpg,2021-09-28,USER
10000007,Lashkar,Gwalior,Anushka Bhargava,9812345607,474001,https://randomuser.me/api/portraits/women/45.jpg,2015-07-02,USER
10000008,Gomti Nagar,Lucknow,Nandini Patel,9812345608,226010,https://randomuser.me/api/portraits/women/8.jpg,2023-05-06,AGENT
10000009,Andheri,Mumbai,Akhil Das,9812345609,400053,https://randomuser.me/api/portraits/men/56.jpg,2021-02-12,AGENT
