id,name,area,city,profileurl,user_type,phone,reg_date,pin
1000000001,Aditya Sharma,Connaught Place,New Delhi,https://randomuser.me/api/portraits/men/1.jpg,User,9812345601,01-01-2025,110001
1000000002,Krishna Rastogi,Connaught Place,New Delhi,https://randomuser.me/api/portraits/men/2.jpg,Agent,9812345602,02-01-2025,110001
1000000003,Kiran Saxena,Connaught Place,New Delhi,https://randomuser.me/api/portraits/women/3.jpg,User,9812345603,03-01-2025,110001
1000000004,Nikhil Das,Connaught Place,New Delhi,https://randomuser.me/api/portraits/men/4.jpg,User,9812345604,04-01-2025,110001
1000000005,Nitya Dutta,Connaught Place,New Delhi,https://randomuser.me/api/portraits/women/5.jpg,User,9812345605,05-01-2025,110001
1000000006,Shiv Dubey,Andheri,Mumbai,https://randomuser.me/api/portraits/men/6.jpg,Agent,9812345606,06-01-2025,400053
1000000007,Anushka Bhargava,Andheri,Mumbai,https://randomuser.me/api/portraits/women/7.jpg,User,9812345607,07-01-2025,400053
1000000008,Nandini Patel,Andheri,Mumbai,https://randomuser.me/api/portraits/women/8.jpg,User,9812345608,08-01-2025,400053
1000000009,Akhil Das,Andheri,Mumbai,https://randomuser.me/api/portraits/men/9.jpg,User,9812345609,09-01-2025,400053
1000000010,Deepa Shetty,Andheri,Mumbai,https://randomuser.me/api/portraits/women/10.jpg,User,9812345610,10-01-2025,400053
1000000011,Sai Rastogi,Koramangala,Bengaluru,https://randomuser.me/api/portraits/men/11.jpg,User,9812345611,11-01-2025,560034
1000000012,Kiran Singh,Koramangala,Bengaluru,https://randomuser.me/api/portraits/women/52.jpg,User,9812345612,12-01-2025,560034
1000000013,Ravi Lal,Koramangala,Bengaluru,https://randomuser.me/api/portraits/men/13.jpg,User,9812345613,13-01-2025,560034
1000000014,Arjun Lal,Koramangala,Bengaluru,https://randomuser.me/api/portraits/men/14.jpg,Agent,9812345614,14-01-2025,560034
1000000015,Kartik Das,Koramangala,Bengaluru,https://randomuser.me/api/portraits/men/15.jpg,User,9812345615,15-01-2025,560034
1000000016,Ishita Kapoor,Navrangpura,Ahmedabad,https://randomuser.me/api/portraits/women/16.jpg,Agent,9812345616,16-01-2025,380009
1000000017,Rahul Kulkarni,Navrangpura,Ahmedabad,https://randomuser.me/api/portraits/men/17.jpg,User,9812345617,17-01-2025,380009
1000000018,Vihaan Dubey,Navrangpura,Ahmedabad,https://randomuser.me/api/portraits/men/18.jpg,Agent,9812345618,18-01-2025,380009
1000000019,Rhea Reddy,Navrangpura,Ahmedabad,https://randomuser.me/api/portraits/women/53.jpg,Agent,9812345619,19-01-2025,380009
1000000020,Sai Reddy,Navrangpura,Ahmedabad,https://randomuser.me/api/portraits/men/20.jpg,User,9812345620,20-01-2025,380009
1000000021,Kiran Bhargava,T. Nagar,Chennai,https://randomuser.me/api/portraits/women/21.jpg,Agent,9812345621,21-01-2025,600017
1000000022,Krishna Lal,T. Nagar,Chennai,https://randomuser.me/api/portraits/men/22.jpg,User,9812345622,22-01-2025,600017
1000000023,Tanvi Yadav,T. Nagar,Chennai,https://randomuser.me/api/portraits/women/23.jpg,Agent,9812345623,23-01-2025,600017
1000000024,Priya Patel,T. Nagar,Chennai,https://randomuser.me/api/portraits/women/24.jpg,User,9812345624,24-01-2025,600017
1000000025,Lata Reddy,T. Nagar,Chennai,https://randomuser.me/api/portraits/women/25.jpg,Agent,9812345625,25-01-2025,600017
